,SalePrice,LotArea,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Fireplaces,GarageCars
0,208500,8450,1710,1,0,2,1,3,1,0,2
1,181500,9600,1262,0,1,2,0,3,1,1,2
2,223500,11250,1786,1,0,2,1,3,1,1,2
3,140000,9550,1717,1,0,1,0,3,1,1,3
4,250000,14260,2198,1,0,2,1,4,1,1,3
5,143000,14115,1362,1,0,1,1,1,1,0,2
6,307000,10084,1694,1,0,2,0,3,1,1,2
7,200000,10382,2090,1,0,2,1,3,1,2,2
8,129900,6120,1774,0,0,2,0,2,2,2,2
9,118000,7420,1077,1,0,1,0,2,2,2,1
10,129500,11200,1040,1,0,1,0,3,1,0,1
11,345000,11924,2324,1,0,3,0,4,1,2,3
12,144000,12968,912,1,0,1,0,2,1,0,1
13,279500,10652,1494,0,0,2,0,3,1,1,3
14,157000,10920,1253,1,0,1,1,2,1,1,1
15,132000,6120,854,0,0,1,0,2,1,0,2
16,149000,11241,1004,1,0,1,0,2,1,1,2
17,90000,10791,1296,0,0,2,0,2,2,0,2
18,159000,13695,1114,1,0,1,1,3,1,0,2
19,139000,7560,1339,0,0,1,0,3,1,0,1
20,325300,14215,2376,0,0,3,1,4,1,1,3
21,139400,7449,1108,0,0,1,0,3,1,1,1
22,230000,9742,1795,0,0,2,0,3,1,1,2
23,129900,4224,1060,1,0,1,0,3,1,1,2
24,154000,8246,1060,1,0,1,0,3,1,1,1
25,256300,14230,1600,0,0,2,0,3,1,1,3
26,134800,7200,900,0,1,1,0,3,1,0,2
27,306000,11478,1704,1,0,2,0,3,1,1,3
28,207500,16321,1600,1,0,1,0,2,1,2,1
29,68500,6324,520,0,0,1,0,1,1,0,1
30,40000,8500,1317,0,0,1,0,3,1,0,1
31,149350,8544,1228,0,0,1,1,3,1,0,1
32,179900,11049,1234,0,0,2,0,3,1,0,2
33,165500,10552,1700,0,1,1,1,4,1,1,2
34,277500,7313,1561,1,0,2,0,2,1,1,2
35,309000,13418,2452,0,0,3,1,4,1,1,3
36,145000,10859,1097,0,0,1,1,3,1,0,2
37,153000,8532,1297,0,1,1,0,3,1,1,2
38,109000,7922,1057,1,0,1,0,3,1,0,1
39,82000,6040,1152,0,0,2,0,2,2,0,0
40,160000,8658,1324,0,0,2,0,3,1,1,2
41,170000,16905,1328,0,1,1,1,2,1,2,1
42,144000,9180,884,1,0,1,0,2,1,0,2
